Date,Event Name,Placement,Earning,int earning,Ranking,Buy-in,Earning increment
1/24/2021,"$ 5,000 + 200 No Limit Hold'em - High Roller TurboWorld Poker Tour - WPT Montreal Online, Online",10th,"$ 10,847",10847,10,5000,135785993
2/21/2021,"$ 5,000 + 300 No Limit Hold'em MILLIONS Online Main Eventpartypoker MILLIONS Online, Online",48th,"$ 80,000",80000,48,5000,135865993
8/2/2021,"$ 1,500 No Limit Hold'em - Millionaire Maker ONLINE (Event #7)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",354th,"$ 3,377",3377,354,1500,135869370
8/8/2021,"$ 200 No Limit Hold'em - Flip & Go Flip ONLINE (Event #6)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",221st,"$ 96,512",96512,221,200,135965882
8/10/2021,"$ 5,000 No Limit Hold'em - 6-Handed Championship ONLINE (Event #8)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",39th,"$ 11,233",11233,39,5000,135977115
8/15/2021,"$ 10,000 No Limit Hold'em - Super MILLION$ High Roller ONLINE (Event #11)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",49th,"$ 9,042",9042,49,10000,135986157
8/23/2021,"$ 25,000 No Limit Short Deck Hold'em - SHRB Europe Event 01Merit Poker presents Super High Roller Bowl Europe (SHRB), Kyrenia",3rd,"$ 180,000",180000,3,25000,136166157
8/24/2021,"$ 5,000 No Limit Short Deck Hold'em Championship ONLINE (Event #18)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",14th,"$ 245,000",245000,14,5000,136411157
8/31/2021,"$ 50,000 No Limit Hold'em - SHRB Europe Event 08Merit Poker presents Super High Roller Bowl Europe (SHRB), Kyrenia",3rd,"$ 152,000",152000,3,50000,136563157
9/16/2021,"$ 25,000 No Limit Hold'em - Poker Masters #10PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",1st,"$ 34,971",34971,1,25000,136598128
9/18/2021,"$ 100,000 No Limit Hold'em - Poker Masters #12PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",5th,"$ 203,000",203000,5,100000,136801128
9/26/2021,"$ 50,000 No Limit Hold'em - Aria High Roller 22PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",4th,"$ 90,000",90000,4,50000,136891128
10/5/2021,"$ 25,000 No Limit Hold'em - Heads-Up Championship (Event #11)52nd World Series of Poker - WSOP 2021, Las Vegas",5th,"$ 36,820",36820,5,25000,136927948
11/20/2021,"$ 50,000 No Limit Hold'em - High Roller (Event #85)52nd World Series of Poker - WSOP 2021, Las Vegas",1st,"$ 416,000",416000,1,50000,137343948
11/21/2021,"$ 100,000 No Limit Hold'em - High Roller (Event #87)52nd World Series of Poker - WSOP 2021, Las Vegas",8th,"$ 217,274",217274,8,100000,137561222
4/4/2022,"$ 50,000 No Limit Hold'em - 8-Handed Turbo - Triton Cyprus #6Triton Poker Cyprus - Special Edition, Kyrenia",3rd,"$ 1,036,201",1036201,3,50000,138597423
4/8/2022,"$ 50,000 No Limit Hold'em Short Deck - SHRS Europe #2Super High Roller Series - SHRS Europe presented by Luxon Pay, Kyrenia",1st,"$ 756,000",756000,1,50000,139353423
5/1/2022,"€ 100,000 No Limit Hold'em - EPT Monte Carlo Super High Roller (Event 17)European Poker Tour - EPT Monte Carlo, Monte Carlo",3rd,"$ 85,500",85500,3,100000,139438923
5/2/2022,"€ 5,300 No Limit Hold'em - EPT Monte Carlo Main Event (Event 21)European Poker Tour - EPT Monte Carlo, Monte Carlo",86th,"$ 12,150",12150,86,5300,139451073
5/17/2022,"€ 50,000 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Series Madrid, Madrid",1st,"$ 13,572",13572,1,50000,139464645
5/23/2022,"€ 100,000 No Limit Short Deck Hold'em - SD Main Event (Event #12)Triton Poker Series Madrid, Madrid",3rd,"$ 894,349",894349,3,100000,140358994
6/19/2022,"$ 100,000 No Limit Hold'em - High Roller 8-Handed (Event #42)53rd World Series of Poker - WSOP 2022, Las Vegas",7th,"$ 255,001",255001,7,100000,140613995
8/12/2022,"€ 25,000 No Limit Hold'em (Event #16)European Poker Tour - EPT Barcelona, Barcelona",7th,"$ 5,610",5610,7,25000,140619605
8/14/2022,"€ 100,000 No Limit Hold'em - EPT Super High Roller (Event #27)European Poker Tour - EPT Barcelona, Barcelona",1st,"$ 2,031,303",2031303,1,100000,142650908
8/15/2022,"€ 5,300 No Limit Hold'em - EPT Barcelona Main Event (Event #29)European Poker Tour - EPT Barcelona, Barcelona",307th,"$ 18,850",18850,307,5300,142669758
8/28/2022,"$ 1,500 No Limit Hold'em - Millionaire Maker ONLINE (Online Bracelet Event #13)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",100th,"$ 6,005",6005,100,1500,142675763
9/13/2022,"$ 50,000 No Limit Hold'em - Turbo (Event #9)Triton Poker Super High Roller Series Cyprus, Kyrenia",3rd,"$ 5,755",5755,3,50000,142681518
9/14/2022,"$ 30,000 No Limit Short Deck Hold'em - Ante Only (Event #10)Triton Poker Super High Roller Series Cyprus, Kyrenia",4th,"$ 131,000",131000,4,30000,142812518
9/25/2022,"$ 5,000 No Limit Hold'em - WSOP Online Main Event ONLINE (Online Bracelet Event #33)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",101st,"$ 1,958",1958,101,5000,142814476
